event_date,event_type,description,source
2021-01-19,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-02-18,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-02-19,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-02-21,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-02-23,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-02-24,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-02-28,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-03-02,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-03-04,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-03-07,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-03-10,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-03-12,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-03-15,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-03-17,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-03-19,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-03-24,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-04-01,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-05-19,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-05-21,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-05-22,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-05-24,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-05-26,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-05-27,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-05-28,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-05-30,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-06-02,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-06-04,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-06-12,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-06-14,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-06-16,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-06-18,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2021-06-19,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
