feature_set,task,algoritmo,AUC,AUC_null,guadagno,p_perm
solo_tasso,A: 24h,logistica,0.7659995058067705,0.7784966641957005,-0.012497158388930063,0.9203980099502488
solo_tasso,A: 24h,random_forest,0.5950580677044724,0.5968418581665431,-0.0017837904620706668,0.6417910447761194
solo_tasso,B: 7gg pre-fase,logistica,0.5045986394557822,0.5262576870748299,-0.02165904761904769,0.9203980099502488
solo_tasso,B: 7gg pre-fase,random_forest,0.3714467120181406,0.3830291156462585,-0.01158240362811791,0.7860696517412935
solo_non_tasso,A: 24h,logistica,0.38636026686434394,0.3599829503335804,0.026377316530763528,0.004975124378109453
solo_non_tasso,A: 24h,random_forest,0.7631331850753644,0.7177057079318012,0.04542747714356321,0.004975124378109453
solo_non_tasso,B: 7gg pre-fase,logistica,0.4449705215419501,0.44532734693877546,-0.0003568253968253554,0.4975124378109453
solo_non_tasso,B: 7gg pre-fase,random_forest,0.5399183673469388,0.513879365079365,0.02603900226757372,0.004975124378109453
combinate,A: 24h,logistica,0.7312083024462565,0.7218888065233506,0.009319495922905818,0.0845771144278607
combinate,A: 24h,random_forest,0.7576970595502841,0.7204175932789721,0.037279466271311956,0.004975124378109453
combinate,B: 7gg pre-fase,logistica,0.6704036281179138,0.6580550566893425,0.012348571428571264,0.14427860696517414
combinate,B: 7gg pre-fase,random_forest,0.5568435374149658,0.5195436281179139,0.03729990929705196,0.009950248756218905
